[ファイル名] iconSkill.smi
[色タイプ] ハイカラー
[総コマ数] 772コマ

コマ    幅      高さ   基準left  基準top
[   1]   34px,    34px,     0px,     0px
[ 155]   34px,    34px,     0px,     0px
[ 156]   34px,    34px,     0px,     0px
[ 157]   34px,    34px,     0px,     0px
[ 158]   34px,    34px,     0px,     0px
[ 159]   34px,    34px,     0px,     0px
[ 160]   34px,    34px,     0px,     0px
[ 161]   34px,    34px,     0px,     0px
[ 162]   34px,    34px,     0px,     0px
[ 163]   34px,    34px,     0px,     0px
[ 164]   34px,    34px,     0px,     0px
[ 165]   34px,    34px,     0px,     0px
[ 166]   34px,    34px,     0px,     0px
[ 167]   34px,    34px,     0px,     0px
[ 168]   34px,    34px,     0px,     0px
[ 169]   34px,    34px,     0px,     0px
[ 170]   34px,    34px,     0px,     0px
[ 171]   34px,    34px,     0px,     0px
[ 172]   34px,    34px,     0px,     0px
[ 173]   34px,    34px,     0px,     0px
[ 174]   34px,    34px,     0px,     0px
[ 175]   34px,    34px,     0px,     0px
[ 176]   34px,    34px,     0px,     0px
[ 177]   34px,    34px,     0px,     0px
[ 178]   34px,    34px,     0px,     0px
[ 179]   34px,    34px,     0px,     0px
[ 180]   34px,    34px,     0px,     0px
[ 181]   34px,    34px,     0px,     0px
[ 182]   34px,    34px,     0px,     0px
[ 183]   34px,    34px,     0px,     0px
[ 184]   34px,    34px,     0px,     0px
[ 185]   34px,    34px,     0px,     0px
[ 186]   34px,    34px,     0px,     0px
[ 187]   34px,    34px,     0px,     0px
[ 188]   34px,    34px,     0px,     0px
[ 189]   34px,    34px,     0px,     0px
[ 190]   34px,    34px,     0px,     0px
[ 191]   34px,    34px,     0px,     0px
[ 192]   34px,    34px,     0px,     0px
[ 193]   34px,    34px,     0px,     0px
[ 194]   34px,    34px,     0px,     0px
[ 195]   34px,    34px,     0px,     0px
[ 196]   34px,    34px,     0px,     0px
[ 197]   34px,    34px,     0px,     0px
[ 198]   34px,    34px,     0px,     0px
[ 199]   34px,    34px,     0px,     0px
[ 200]   34px,    34px,     0px,     0px
[ 201]   34px,    34px,     0px,     0px
[ 202]   34px,    34px,     0px,     0px
[ 203]   34px,    34px,     0px,     0px
[ 204]   34px,    34px,     0px,     0px
[ 205]   34px,    34px,     0px,     0px
[ 206]   34px,    34px,     0px,     0px
[ 207]   34px,    34px,     0px,     0px
[ 208]   34px,    34px,     0px,     0px
[ 209]   34px,    34px,     0px,     0px
[ 210]   34px,    34px,     0px,     0px
[ 211]   34px,    34px,     0px,     0px
[ 212]   34px,    34px,     0px,     0px
[ 213]   34px,    34px,     0px,     0px
[ 214]   34px,    34px,     0px,     0px
[ 215]   34px,    34px,     0px,     0px
[ 216]   34px,    34px,     0px,     0px
[ 217]   34px,    34px,     0px,     0px
[ 218]   34px,    34px,     0px,     0px
[ 219]   34px,    34px,     0px,     0px
[ 220]   34px,    34px,     0px,     0px
[ 221]   34px,    34px,     0px,     0px
[ 222]   34px,    34px,     0px,     0px
[ 223]   34px,    34px,     0px,     0px
[ 224]   34px,    34px,     0px,     0px
[ 225]   34px,    34px,     0px,     0px
[ 226]   34px,    34px,     0px,     0px
[ 227]   34px,    34px,     0px,     0px
[ 228]   34px,    34px,     0px,     0px
[ 229]   34px,    34px,     0px,     0px
[ 230]   34px,    34px,     0px,     0px
[ 231]   34px,    34px,     0px,     0px
[ 232]   34px,    34px,     0px,     0px
[ 233]   34px,    34px,     0px,     0px
[ 234]   34px,    34px,     0px,     0px
[ 235]   34px,    34px,     0px,     0px
[ 236]   34px,    34px,     0px,     0px
[ 237]   34px,    34px,     0px,     0px
[ 238]   34px,    34px,     0px,     0px
[ 239]   34px,    34px,     0px,     0px
[ 240]   34px,    34px,     0px,     0px
[ 241]   34px,    34px,     0px,     0px
[ 242]   34px,    34px,     0px,     0px
[ 243]   34px,    34px,     0px,     0px
[ 244]   34px,    34px,     0px,     0px
[ 245]   34px,    34px,     0px,     0px
[ 246]   34px,    34px,     0px,     0px
[ 247]   34px,    34px,     0px,     0px
[ 248]   34px,    34px,     0px,     0px
[ 249]   34px,    34px,     0px,     0px
[ 250]   34px,    34px,     0px,     0px
[ 251]   34px,    34px,     0px,     0px
[ 252]   34px,    34px,     0px,     0px
[ 253]   34px,    34px,     0px,     0px
[ 254]   34px,    34px,     0px,     0px
[ 255]   34px,    34px,     0px,     0px
[ 256]   34px,    34px,     0px,     0px
[ 257]   34px,    34px,     0px,     0px
[ 258]   34px,    34px,     0px,     0px
[ 259]   34px,    34px,     0px,     0px
[ 260]   34px,    34px,     0px,     0px
[ 261]   34px,    34px,     0px,     0px
[ 262]   34px,    34px,     0px,     0px
[ 263]   34px,    34px,     0px,     0px
[ 264]   34px,    34px,     0px,     0px
[ 265]   34px,    34px,     0px,     0px
[ 266]   34px,    34px,     0px,     0px
[ 267]   34px,    34px,     0px,     0px
[ 268]   34px,    34px,     0px,     0px
[ 269]   34px,    34px,     0px,     0px
[ 270]   34px,    34px,     0px,     0px
[ 271]   34px,    34px,     0px,     0px
[ 272]   34px,    34px,     0px,     0px
[ 273]   34px,    34px,     0px,     0px
[ 274]   34px,    34px,     0px,     0px
[ 275]   34px,    34px,     0px,     0px
[ 276]   34px,    34px,     0px,     0px
[ 277]   34px,    34px,     0px,     0px
[ 278]   34px,    34px,     0px,     0px
[ 279]   34px,    34px,     0px,     0px
[ 280]   34px,    34px,     0px,     0px
[ 281]   34px,    34px,     0px,     0px
[ 282]   34px,    34px,     0px,     0px
[ 283]   34px,    34px,     0px,     0px
[ 284]   34px,    34px,     0px,     0px
[ 285]   34px,    34px,     0px,     0px
[ 286]   34px,    34px,     0px,     0px
[ 287]   34px,    34px,     0px,     0px
[ 288]   34px,    34px,     0px,     0px
[ 289]   34px,    34px,     0px,     0px
[ 290]   34px,    34px,     0px,     0px
[ 291]   34px,    34px,     0px,     0px
[ 292]   34px,    34px,     0px,     0px
[ 293]   34px,    34px,     0px,     0px
[ 294]   34px,    34px,     0px,     0px
[ 295]   34px,    34px,     0px,     0px
[ 296]   34px,    34px,     0px,     0px
[ 297]   34px,    34px,     0px,     0px
[ 298]   34px,    34px,     0px,     0px
[ 299]   34px,    34px,     0px,     0px
[ 300]   34px,    34px,     0px,     0px
[ 301]   34px,    34px,     0px,     0px
[ 302]   34px,    34px,     0px,     0px
[ 303]   34px,    34px,     0px,     0px
[ 304]   34px,    34px,     0px,     0px
[ 305]   34px,    34px,     0px,     0px
[ 306]   34px,    34px,     0px,     0px
[ 307]   34px,    34px,     0px,     0px
[ 308]   34px,    34px,     0px,     0px
[ 309]   34px,    34px,     0px,     0px
[ 310]   34px,    34px,     0px,     0px
[ 311]   34px,    34px,     0px,     0px
[ 312]   34px,    34px,     0px,     0px
[ 313]   34px,    34px,     0px,     0px
[ 314]   34px,    34px,     0px,     0px
[ 315]   34px,    34px,     0px,     0px
[ 316]   34px,    34px,     0px,     0px
[ 317]   34px,    34px,     0px,     0px
[ 318]   34px,    34px,     0px,     0px
[ 319]   34px,    34px,     0px,     0px
[ 320]   34px,    34px,     0px,     0px
[ 321]   34px,    34px,     0px,     0px
[ 322]   34px,    34px,     0px,     0px
[ 323]   34px,    34px,     0px,     0px
[ 324]   34px,    34px,     0px,     0px
[ 325]   34px,    34px,     0px,     0px
[ 326]   34px,    34px,     0px,     0px
[ 327]   34px,    34px,     0px,     0px
[ 328]   34px,    34px,     0px,     0px
[ 329]   34px,    34px,     0px,     0px
[ 330]   34px,    34px,     0px,     0px
[ 331]   34px,    34px,     0px,     0px
[ 332]   34px,    34px,     0px,     0px
[ 333]   34px,    34px,     0px,     0px
[ 334]   34px,    34px,     0px,     0px
[ 335]   34px,    34px,     0px,     0px
[ 336]   34px,    34px,     0px,     0px
[ 337]   34px,    34px,     0px,     0px
[ 338]   34px,    34px,     0px,     0px
[ 339]   34px,    34px,     0px,     0px
[ 340]   34px,    34px,     0px,     0px
[ 341]   34px,    34px,     0px,     0px
[ 342]   34px,    34px,     0px,     0px
[ 343]   34px,    34px,     0px,     0px
[ 344]   34px,    34px,     0px,     0px
[ 345]   34px,    34px,     0px,     0px
[ 346]   34px,    34px,     0px,     0px
[ 347]   34px,    34px,     0px,     0px
[ 348]   34px,    34px,     0px,     0px
[ 349]   34px,    34px,     0px,     0px
[ 350]   34px,    34px,     0px,     0px
[ 351]   34px,    34px,     0px,     0px
[ 352]   34px,    34px,     0px,     0px
[ 353]   34px,    34px,     0px,     0px
[ 354]   34px,    34px,     0px,     0px
[ 355]   34px,    34px,     0px,     0px
[ 356]   34px,    34px,     0px,     0px
[ 357]   34px,    34px,     0px,     0px
[ 358]   34px,    34px,     0px,     0px
[ 359]   34px,    34px,     0px,     0px
[ 360]   34px,    34px,     0px,     0px
[ 361]   34px,    34px,     0px,     0px
[ 362]   34px,    34px,     0px,     0px
[ 363]   34px,    34px,     0px,     0px
[ 364]   34px,    34px,     0px,     0px
[ 365]   34px,    34px,     0px,     0px
[ 366]   34px,    34px,     0px,     0px
[ 367]   34px,    34px,     0px,     0px
[ 368]   34px,    34px,     0px,     0px
[ 369]   34px,    34px,     0px,     0px
[ 370]   34px,    34px,     0px,     0px
[ 371]   34px,    34px,     0px,     0px
[ 372]   34px,    34px,     0px,     0px
[ 373]   34px,    34px,     0px,     0px
[ 374]   34px,    34px,     0px,     0px
[ 375]   34px,    34px,     0px,     0px
[ 376]   34px,    34px,     0px,     0px
[ 377]   34px,    34px,     0px,     0px
[ 378]   34px,    34px,     0px,     0px
[ 379]   34px,    34px,     0px,     0px
[ 380]   34px,    34px,     0px,     0px
[ 381]   34px,    34px,     0px,     0px
[ 382]   34px,    34px,     0px,     0px
[ 383]   34px,    34px,     0px,     0px
[ 384]   34px,    34px,     0px,     0px
[ 385]   34px,    34px,     0px,     0px
[ 386]   34px,    34px,     0px,     0px
[ 387]   34px,    34px,     0px,     0px
[ 388]   34px,    34px,     0px,     0px
[ 389]   34px,    34px,     0px,     0px
[ 390]   34px,    34px,     0px,     0px
[ 391]   34px,    34px,     0px,     0px
[ 392]   34px,    34px,     0px,     0px
[ 393]   34px,    34px,     0px,     0px
[ 394]   34px,    34px,     0px,     0px
[ 395]   34px,    34px,     0px,     0px
[ 396]   34px,    34px,     0px,     0px
[ 397]   34px,    34px,     0px,     0px
[ 398]   34px,    34px,     0px,     0px
[ 399]   34px,    34px,     0px,     0px
[ 400]   34px,    34px,     0px,     0px
[ 401]   34px,    34px,     0px,     0px
[ 402]   34px,    34px,     0px,     0px
[ 403]   34px,    34px,     0px,     0px
[ 404]   34px,    34px,     0px,     0px
[ 405]   34px,    34px,     0px,     0px
[ 406]   34px,    34px,     0px,     0px
[ 407]   34px,    34px,     0px,     0px
[ 408]   34px,    34px,     0px,     0px
[ 409]   34px,    34px,     0px,     0px
[ 410]   34px,    34px,     0px,     0px
[ 411]   34px,    34px,     0px,     0px
[ 412]   34px,    34px,     0px,     0px
[ 413]   34px,    34px,     0px,     0px
[ 414]   34px,    34px,     0px,     0px
[ 415]   34px,    34px,     0px,     0px
[ 416]   34px,    34px,     0px,     0px
[ 417]   34px,    34px,     0px,     0px
[ 418]   34px,    34px,     0px,     0px
[ 419]   34px,    34px,     0px,     0px
[ 420]   34px,    34px,     0px,     0px
[ 421]   34px,    34px,     0px,     0px
[ 422]   34px,    34px,     0px,     0px
[ 423]   34px,    34px,     0px,     0px
[ 424]   34px,    34px,     0px,     0px
[ 425]   34px,    34px,     0px,     0px
[ 426]   34px,    34px,     0px,     0px
[ 427]   34px,    34px,     0px,     0px
[ 428]   34px,    34px,     0px,     0px
[ 429]   34px,    34px,     0px,     0px
[ 430]   34px,    34px,     0px,     0px
[ 431]   34px,    34px,     0px,     0px
[ 432]   34px,    34px,     0px,     0px
[ 433]   34px,    34px,     0px,     0px
[ 434]   34px,    34px,     0px,     0px
[ 435]   34px,    34px,     0px,     0px
[ 436]   34px,    34px,     0px,     0px
[ 437]   34px,    34px,     0px,     0px
[ 438]   34px,    34px,     0px,     0px
[ 439]   34px,    34px,     0px,     0px
[ 440]   34px,    34px,     0px,     0px
[ 441]   34px,    34px,     0px,     0px
[ 442]   34px,    34px,     0px,     0px
[ 443]   34px,    34px,     0px,     0px
[ 444]   34px,    34px,     0px,     0px
[ 445]   34px,    34px,     0px,     0px
[ 446]   34px,    34px,     0px,     0px
[ 447]   34px,    34px,     0px,     0px
[ 448]   34px,    34px,     0px,     0px
[ 449]   34px,    34px,     0px,     0px
[ 450]   34px,    34px,     0px,     0px
[ 451]   34px,    34px,     0px,     0px
[ 452]   34px,    34px,     0px,     0px
[ 453]   34px,    34px,     0px,     0px
[ 454]   34px,    34px,     0px,     0px
[ 455]   34px,    34px,     0px,     0px
[ 456]   34px,    34px,     0px,     0px
[ 457]   34px,    34px,     0px,     0px
[ 458]   34px,    34px,     0px,     0px
[ 459]   34px,    34px,     0px,     0px
[ 460]   34px,    34px,     0px,     0px
[ 461]   34px,    34px,     0px,     0px
[ 462]   34px,    34px,     0px,     0px
[ 463]   34px,    34px,     0px,     0px
[ 464]   34px,    34px,     0px,     0px
[ 465]   34px,    34px,     0px,     0px
[ 466]   34px,    34px,     0px,     0px
[ 467]   34px,    34px,     0px,     0px
[ 468]   34px,    34px,     0px,     0px
[ 469]   34px,    34px,     0px,     0px
[ 470]   34px,    34px,     0px,     0px
[ 471]   34px,    34px,     0px,     0px
[ 472]   34px,    34px,     0px,     0px
[ 473]   34px,    34px,     0px,     0px
[ 474]   34px,    34px,     0px,     0px
[ 475]   34px,    34px,     0px,     0px
[ 476]   34px,    34px,     0px,     0px
[ 477]   34px,    34px,     0px,     0px
[ 478]   34px,    34px,     0px,     0px
[ 479]   34px,    34px,     0px,     0px
[ 480]   34px,    34px,     0px,     0px
[ 481]   34px,    34px,     0px,     0px
[ 482]   34px,    34px,     0px,     0px
[ 483]   34px,    34px,     0px,     0px
[ 484]   34px,    34px,     0px,     0px
[ 485]   34px,    34px,     0px,     0px
[ 486]   34px,    34px,     0px,     0px
[ 487]   34px,    34px,     0px,     0px
[ 488]   34px,    34px,     0px,     0px
[ 489]   34px,    34px,     0px,     0px
[ 490]   34px,    34px,     0px,     0px
[ 491]   34px,    34px,     0px,     0px
[ 492]   34px,    34px,     0px,     0px
[ 493]   34px,    34px,     0px,     0px
[ 494]   34px,    34px,     0px,     0px
[ 495]   34px,    34px,     0px,     0px
[ 496]   34px,    34px,     0px,     0px
[ 497]   34px,    34px,     0px,     0px
[ 498]   34px,    34px,     0px,     0px
[ 499]   34px,    34px,     0px,     0px
[ 500]   34px,    34px,     0px,     0px
[ 501]   34px,    34px,     0px,     0px
[ 502]   34px,    34px,     0px,     0px
[ 503]   34px,    34px,     0px,     0px
[ 504]   34px,    34px,     0px,     0px
[ 505]   34px,    34px,     0px,     0px
[ 506]   34px,    34px,     0px,     0px
[ 507]   34px,    34px,     0px,     0px
[ 508]   34px,    34px,     0px,     0px
[ 509]   34px,    34px,     0px,     0px
[ 510]   34px,    34px,     0px,     0px
[ 511]   34px,    34px,     0px,     0px
[ 512]   34px,    34px,     0px,     0px
[ 513]   34px,    34px,     0px,     0px
[ 514]   34px,    34px,     0px,     0px
[ 515]   34px,    34px,     0px,     0px
[ 516]   34px,    34px,     0px,     0px
[ 517]   34px,    34px,     0px,     0px
[ 518]   34px,    34px,     0px,     0px
[ 519]   34px,    34px,     0px,     0px
[ 520]   34px,    34px,     0px,     0px
[ 521]   34px,    34px,     0px,     0px
[ 522]   34px,    34px,     0px,     0px
[ 523]   34px,    34px,     0px,     0px
[ 524]   34px,    34px,     0px,     0px
[ 525]   34px,    34px,     0px,     0px
[ 526]   34px,    34px,     0px,     0px
[ 527]   34px,    34px,     0px,     0px
[ 528]   34px,    34px,     0px,     0px
[ 529]   34px,    34px,     0px,     0px
[ 530]   34px,    34px,     0px,     0px
[ 531]   34px,    34px,     0px,     0px
[ 532]   34px,    34px,     0px,     0px
[ 533]   34px,    34px,     0px,     0px
[ 534]   34px,    34px,     0px,     0px
[ 535]   34px,    34px,     0px,     0px
[ 536]   34px,    34px,     0px,     0px
[ 537]   34px,    34px,     0px,     0px
[ 538]   34px,    34px,     0px,     0px
[ 539]   34px,    34px,     0px,     0px
[ 540]   34px,    34px,     0px,     0px
[ 541]   34px,    34px,     0px,     0px
[ 542]   34px,    34px,     0px,     0px
[ 543]   34px,    34px,     0px,     0px
[ 544]   34px,    34px,     0px,     0px
[ 545]   34px,    34px,     0px,     0px
[ 546]   34px,    34px,     0px,     0px
[ 547]   34px,    34px,     0px,     0px
[ 548]   34px,    34px,     0px,     0px
[ 549]   34px,    34px,     0px,     0px
[ 550]   34px,    34px,     0px,     0px
[ 551]   34px,    34px,     0px,     0px
[ 552]   32px,    32px,     0px,     0px
[ 553]   34px,    34px,     0px,     0px
[ 554]   34px,    34px,     0px,     0px
[ 555]   34px,    34px,     0px,     0px
[ 556]   34px,    34px,     0px,     0px
[ 557]   34px,    34px,     0px,     0px
[ 558]   34px,    34px,     0px,     0px
[ 559]   34px,    34px,     0px,     0px
[ 560]   34px,    34px,     0px,     0px
[ 561]   34px,    34px,     0px,     0px
[ 562]   34px,    34px,     0px,     0px
[ 563]   34px,    34px,     0px,     0px
[ 564]   34px,    34px,     0px,     0px
[ 565]   34px,    34px,     0px,     0px
[ 566]   34px,    34px,     0px,     0px
[ 567]   34px,    34px,     0px,     0px
[ 568]   34px,    34px,     0px,     0px
[ 569]   34px,    34px,     0px,     0px
[ 570]   34px,    34px,     0px,     0px
[ 571]   34px,    34px,     0px,     0px
[ 572]   34px,    34px,     0px,     0px
[ 573]   34px,    34px,     0px,     0px
[ 574]   34px,    34px,     0px,     0px
[ 575]   34px,    34px,     0px,     0px
[ 576]   34px,    34px,     0px,     0px
[ 577]   34px,    34px,     0px,     0px
[ 578]   34px,    34px,     0px,     0px
[ 579]   34px,    34px,     0px,     0px
[ 580]   34px,    34px,     0px,     0px
[ 581]   34px,    34px,     0px,     0px
[ 582]   34px,    34px,     0px,     0px
[ 583]   34px,    34px,     0px,     0px
[ 584]   34px,    34px,     0px,     0px
[ 585]   34px,    34px,     0px,     0px
[ 586]   34px,    34px,     0px,     0px
[ 587]   34px,    34px,     0px,     0px
[ 588]   34px,    34px,     0px,     0px
[ 589]   34px,    34px,     0px,     0px
[ 590]   34px,    34px,     0px,     0px
[ 591]   34px,    34px,     0px,     0px
[ 592]   34px,    34px,     0px,     0px
[ 593]   34px,    34px,     0px,     0px
[ 594]   34px,    34px,     0px,     0px
[ 595]   34px,    34px,     0px,     0px
[ 596]   34px,    34px,     0px,     0px
[ 597]   34px,    34px,     0px,     0px
[ 598]   34px,    34px,     0px,     0px
[ 599]   34px,    34px,     0px,     0px
[ 600]   34px,    34px,     0px,     0px
[ 601]   34px,    34px,     0px,     0px
[ 602]   34px,    34px,     0px,     0px
[ 603]   34px,    34px,     0px,     0px
[ 604]   34px,    34px,     0px,     0px
[ 605]   34px,    34px,     0px,     0px
[ 606]   34px,    34px,     0px,     0px
[ 607]   34px,    34px,     0px,     0px
[ 608]   34px,    34px,     0px,     0px
[ 609]   34px,    34px,     0px,     0px
[ 610]   34px,    34px,     0px,     0px
[ 611]   34px,    34px,     0px,     0px
[ 612]   34px,    34px,     0px,     0px
[ 613]   34px,    34px,     0px,     0px
[ 614]   34px,    34px,     0px,     0px
[ 615]   34px,    34px,     0px,     0px
[ 616]   34px,    34px,     0px,     0px
[ 617]   34px,    34px,     0px,     0px
[ 618]   34px,    34px,     0px,     0px
[ 619]   34px,    34px,     0px,     0px
[ 620]   34px,    34px,     0px,     0px
[ 621]   34px,    34px,     0px,     0px
[ 622]   34px,    34px,     0px,     0px
[ 623]   34px,    34px,     0px,     0px
[ 624]   34px,    34px,     0px,     0px
[ 625]   34px,    34px,     0px,     0px
[ 626]   34px,    34px,     0px,     0px
[ 627]   34px,    34px,     0px,     0px
[ 628]   34px,    34px,     0px,     0px
[ 629]   34px,    34px,     0px,     0px
[ 630]   34px,    34px,     0px,     0px
[ 631]   34px,    34px,     0px,     0px
[ 632]   34px,    34px,     0px,     0px
[ 633]   34px,    34px,     0px,     0px
[ 634]   34px,    34px,     0px,     0px
[ 635]   34px,    34px,     0px,     0px
[ 636]   34px,    34px,     0px,     0px
[ 637]   34px,    34px,     0px,     0px
[ 638]   34px,    34px,     0px,     0px
[ 639]   40px,    40px,     0px,     0px
[ 640]   40px,    40px,     0px,     0px
[ 641]   40px,    40px,     0px,     0px
[ 642]   40px,    40px,     0px,     0px
[ 643]   40px,    40px,     0px,     0px
[ 644]   40px,    40px,     0px,     0px
[ 645]   40px,    40px,     0px,     0px
[ 646]   40px,    40px,     0px,     0px
[ 647]   40px,    40px,     0px,     0px
[ 648]   40px,    40px,     0px,     0px
[ 649]   40px,    40px,     0px,     0px
[ 650]   40px,    40px,     0px,     0px
[ 651]   40px,    40px,     0px,     0px
[ 652]   40px,    40px,     0px,     0px
[ 653]   40px,    40px,     0px,     0px
[ 654]   40px,    40px,     0px,     0px
[ 655]   40px,    40px,     0px,     0px
[ 656]   40px,    40px,     0px,     0px
[ 657]   40px,    40px,     0px,     0px
[ 658]   40px,    40px,     0px,     0px
[ 659]   40px,    40px,     0px,     0px
[ 660]   40px,    40px,     0px,     0px
[ 661]   40px,    40px,     0px,     0px
[ 662]   40px,    40px,     0px,     0px
[ 663]   40px,    40px,     0px,     0px
[ 664]   40px,    40px,     0px,     0px
